RDRLPV2-M48LBProtrusion=301mm;RDRLPV2-M48LBProtrusion=301mm;73269090;Z10174801L;1.05;PC;4334.56;0;7191;7054
RDRLPV2-M48x5;RDRLPV2-M48x5;73269090;Z1017481;1.05;PC;1409.34;0;2338;2294
"RDRLPV2-UNC5/16""LBProtrusion=101mm";"RDRLPV2-UNC5/16""LBProtrusion=101mm";73269090;Z10180801L;1.05;PC;154.81;0;257;252
"RDRLPV2-UNC5/16""-18";"RDRLPV2-UNC5/16""-18";73269090;Z1018081;1.05;PC;68.99;0;114;112
"RDRLPV2-UNC3/8""LBProtrusion=101mm";"RDRLPV2-UNC3/8""LBProtrusion=101mm";73269090;Z10181001L;1.05;PC;182.12;0;302;296
"RDRLPV2-UNC3/8""-16";"RDRLPV2-UNC3/8""-16";73269090;Z1018101;1.05;PC;71.98;0;119;117
"RDRLPV2-UNC1/2""LBProtrusion=120mm";"RDRLPV2-UNC1/2""LBProtrusion=120mm";73269090;Z10181201L;1.05;PC;425.97;0;707;693
"RDRLPV2-UNC1/2""-13";"RDRLPV2-UNC1/2""-13";73269090;Z1018121;1.05;PC;76.55;0;127;125
"RDRLPV2-UNC5/8""LBProtrusion=160mm";"RDRLPV2-UNC5/8""LBProtrusion=160mm";73269090;Z10181601L;1.05;PC;446.2;0;740;726
"RDRLPV2-UNC5/8""-11";"RDRLPV2-UNC5/8""-11";73269090;Z1018161;1.05;PC;80.26;0;133;131
"RDRLPV2-UNC3/4""LBProtrusion=200mm";"RDRLPV2-UNC3/4""LBProtrusion=200mm";73269090;Z10182001L;1.05;PC;777.06;0;1289;1265
"RDRLPV2-UNC3/4""-10";"RDRLPV2-UNC3/4""-10";73269090;Z1018201;1.05;PC;135.98;0;226;221
"RDRLPV2-UNC7/8""LBProtrusion=240mm";"RDRLPV2-UNC7/8""LBProtrusion=240mm";73269090;Z10182101L;1.05;PC;920.74;0;1528;1499
"RDRLPV2-UNC7/8""-9";"RDRLPV2-UNC7/8""-9";73269090;Z1018211;1.05;PC;135.98;0;226;221
"RDRLPV2-UNC1""LBProtrusion=240mm";"RDRLPV2-UNC1""LBProtrusion=240mm";73269090;Z10182401L;1.05;PC;924.79;0;1534;1505
"RDRLPV2-UNC1""-8";"RDRLPV2-UNC1""-8";73269090;Z1018241;1.05;PC;141.08;0;234;230
"RDRLPV2-UNC11/4""LBProtrusion=300mm";"RDRLPV2-UNC11/4""LBProtrusion=300mm";73269090;Z10183001L;1.05;PC;2396.96;0;3977;3901
"RDRLPV2-UNC11/4""";"RDRLPV2-UNC11/4""";73269090;Z1018301;1.05;PC;699.14;0;1160;1138
"RDRLPV2-UNC11/2""LBProtrusion=300mm";"RDRLPV2-UNC11/2""LBProtrusion=300mm";73269090;Z10183601L;1.05;PC;3303.53;0;5481;5376
"RDRLPV2-UNC11/2""";"RDRLPV2-UNC11/2""";73269090;Z1018361;1.05;PC;713.72;0;1184;1162
"RDRLPV2-UNC13/4""LBProtrusion=301mm";"RDRLPV2-UNC13/4""LBProtrusion=301mm";73269090;Z10184201L;1.05;PC;4672.5;0;7752;7604
"RDRLPV2-UNC13/4""";"RDRLPV2-UNC13/4""";73269090;Z1018421;1.05;PC;1972.58;0;3273;3210
"RDRLPV2-UNC2""LBProtrusion=301mm";"RDRLPV2-UNC2""LBProtrusion=301mm";73269090;Z10184801L;1.05;PC;5101.51;0;8463;8303
"RDRLPV2-UNC2""";"RDRLPV2-UNC2""";73269090;Z1018481;1.05;PC;2061.93;0;3421;3356
RELP-M12x1.75;RELP-M12GrabiQ;73269090;Z102412;1.05;PC;280.52;47;465;457
"RELP-UNC1/2""-13";"RELP-UNC1/2""-13GRABIQ";73269090;Z102512;1.05;PC;280.52;47;465;457
"RELP-UNC2""-4,5";"RELP-UNC2""-4,5GRABIQ";73269090;Z102548;1.05;PC;2792.94;135;4633;4546
RELP-M8x1.25;RELP-M8GrabiQ;73269090;Z102408;1.05;PC;251.89;42;418;410
RELP-M10x1.5;RELP-M10GRABIQ;73269090;Z102410;1.05;PC;269.05;42;446;438
RELP-M16x2;RELP-M16GrabiQ;73269090;Z102416;1.05;PC;309.11;57;513;503
RELP-M20x2.5;RELP-M20GRABIQ;73269090;Z102420;1.05;PC;562.86;60;934;916
RELP-M24x3;RELP-M24GRABIQ;73269090;Z102424;1.05;PC;676.84;71;1123;1102
RELP-M30x3.5;RELP-M30GRABIQ;73269090;Z102430;1.05;PC;919.1;90;1525;1496
RELP-M36x4;RELP-M36GRABIQ;73269090;Z102436;1.05;PC;1261.1;104;2092;2052
RELP-M42x4.5;RELP-M42GRABIQ;73269090;Z102442;1.05;PC;2037.7;119;3381;3316
RELP-M485;RELP-M48GRABIQ;73269090;Z102448;1.05;PC;2721.71;135;4515;4430
"RELP-UNC5/16""-18";"RELP-UNC5/16""-18GRABIQ";73269090;Z102508;1.05;PC;251.89;42;418;410
"RELP-UNC3/8""-16";"RELP-UNC3/8""-16GRABIQ";73269090;Z102510;1.05;PC;269.05;42;446;438
"RELP-UNC5/8""-11";"RELP-UNC5/8""-11GRABIQ";73269090;Z102516;1.05;PC;309.11;57;513;503
"RELP-UNC1""-8";"RELP-UNC1""-8GRABIQ";73269090;Z102524;1.05;PC;691.12;71;1147;1125
"RELP-UNC11/4""-7";"RELP-UNC11/4""-7GRABIQ";73269090;Z102530;1.05;PC;961.85;90;1596;1565
"RELP-UNC11/2""-6";"RELP-UNC11/2""-6GRABIQ";73269090;Z102536;1.05;PC;1346.6;104;2234;2192
"RELP-UNC3/4""-10";"RELP-UNC3/4""-10GRABIQ";73269090;Z102520;1.05;PC;577.12;60;957;939
"RELP-UNC7/8""-9";"RELP-UNC7/8""-9GRABIQ";73269090;Z102521;1.05;PC;619.85;60;1028;1009
"RELP-UNC13/4""-5";"RELP-UNC13/4""-5GRABIQ";73269090;Z102542;1.05;PC;2108.94;119;3499;3432
RLP-M8;RLPV2-M8GRABIQ;73269090;Z101708;1.05;PC;562.44;62;933;915
RLP-M10;RLPV2-M10GRABIQ;73269090;Z101710;1.05;PC;566.96;62;941;923
RLP-M12;RLPv2-M12GRABIQ;73269090;Z101712;1.05;PC;684.63;88;1136;1114
RLP-M16;RLPV2-M16GRABIQ;73269090;Z101716;1.05;PC;691.39;88;1147;1125
RLP-M20;RLPV2-M20GRABIQ;73269090;Z101720;1.05;PC;1006.68;110;1670;1638
RLP-M24;RLPV2-M24GRABIQ;73269090;Z101724;1.05;PC;1020.66;110;1693;1661
RLP-M30;RLPV2-M30GRABIQ;73269090;Z101730;1.05;PC;2827.73;148;4691;4602
RLP-M36;RLPV2-M36GRABIQ;73269090;Z101736;1.05;PC;2778.95;148;4610;4523
RLP-M42;RLPV2-M42GRABIQ;73269090;Z101742;1.05;PC;4828.42;190;8010;7858
RLP-M48;RLPV2-M48GRABIQ;73269090;Z101748;1.05;PC;5124.87;190;8502;8341
"RLP-UNC5/16""-18";"RLPV2-UNC5/16""-18GRABIQ";73269090;Z101808;1.05;PC;319.42;62;530;520
"RLP-UNC3/8""-16";"RLPV2-UNC3/8""-16GRABIQ";73269090;Z101810;1.05;PC;338.9;62;562;552
"RLP-UNC1/2""-13";"RLPV2-UNC1/2""-13GRABIQ";73269090;Z101812;1.05;PC;401.84;88;667;654
"RLP-UNC5/8""-11";"RLPV2-UNC5/8""-11GRABIQ";73269090;Z101816;1.05;PC;420.75;88;698;685
"RLP-UNC3/4""-10";"RLPV2-UNC3/4""-10GRABIQ";73269090;Z101820;1.05;PC;698.38;110;1159;1137
"RLP-UNC7/8""-9";"RLPV2-UNC7/8""-9GRABIQ";73269090;Z101821;1.05;PC;732.74;110;1216;1193
"RLP-UNC1""-8";"RLPV2-UNC1""-8GRABIQ";73269090;Z101824;1.05;PC;749.91;110;1244;1220
"RLP-UNC11/4""-7";"RLPV2-UNC11/4""-7GRABIQ";73269090;Z101830;1.05;PC;1660.09;148;2754;2702
"RLP-UNC11/2""-6";"RLPV2-UNC11/2""-6GRABIQ";73269090;Z101836;1.05;PC;1711.62;148;2840;2786
"RLP-UNC2""-4,5";"RLPV2-UNC2""-4,5GRABIQ";73269090;Z101848;1.05;PC;3606.41;190;5983;5869
"RLP-UNC13/4""-5";"RLPV2-UNC13/4""-5GRABIQ";73269090;Z101842;1.05;PC;3463.28;190;5746;5636
RLPM8-LBProtrusion=101mm;RLPM8-LBProtrusion=101mm;73269090;Z1017080L;1.05;PC;905;0;1501;1473
RLPM10-LBProtrusion=101mm;RLPM10-LBProtrusion=101mm;73269090;Z1017100L;1.05;PC;952.12;0;1580;1550
RLPM12-LBProtrusion=120mm;RLPM12-LBProtrusion=120mm;73269090;Z1017120L;1.05;PC;1258.92;0;2089;2049
RLPM16-LBProtrusion=160mm;RLPM16-LBProtrusion=160mm;73269090;Z1017160L;1.05;PC;1306.33;0;2167;2126
RLPM20-LBProtrusion=200mm;RLPM20-LBProtrusion=200mm;73269090;Z1017200L;1.05;PC;1798.33;0;2983;2927
RLPM24-LBProtrusion=240mm;RLPM24-LBProtrusion=240mm;73269090;Z1017240L;1.05;PC;1897.63;0;3148;3088
RLPM30-LBProtrusion=300mm;RLPM30-LBProtrusion=300mm;73269090;Z1017300L;1.05;PC;6337.43;0;10514;10314
RLPM36-LBProtrusion=300mm;RLPM36-LBProtrusion=300mm;73269090;Z1017360L;1.05;PC;6416.01;0;10644;10442
RLPM42-LBProtrusion=301mm;RLPM42-LBProtrusion=301mm;73269090;Z1017420L;1.05;PC;9553.44;0;15849;15548
RLPM48-LBProtrusion=301mm;RLPM48-LBProtrusion=301mm;73269090;Z1017480L;1.05;PC;9919.58;0;16457;16144
"RLPUNC5/16""-18-LBProtrusion=101mm";"RLPUNC5/16""-18-LBProtrusion=101mm";73269090;Z1018080L;1.05;PC;547.77;0;909;891
"RLPUNC3/8""-16-LBProtrusion=101mm";"RLPUNC3/8""-16-LBProtrusion=101mm";73269090;Z1018100L;1.05;PC;595.79;0;988;970
"RLPUNC1/2""-13-LBProtrusion=120mm";"RLPUNC1/2""-13-LBProtrusion=120mm";73269090;Z1018120L;1.05;PC;867;0;1438;1411
"RLPUNC5/8""-11-LBProtrusion=160mm";"RLPUNC5/8""-11-LBProtrusion=160mm";73269090;Z1018160L;1.05;PC;907.91;0;1506;1478
"RLPUNC3/4""-10-LBProtrusion=200mm";"RLPUNC3/4""-10-LBProtrusion=200mm";73269090;Z1018200L;1.05;PC;1470.79;0;2440;2394
"RLPUNC7/8""-9-LBProtrusion=240mm";"RLPUNC7/8""-9-LBProtrusion=240mm";73269090;Z1018210L;1.05;PC;1629.96;0;2704;2653
"RLPUNC1""-8-LBProtrusion=240mm";"RLPUNC1""-8-LBProtrusion=240mm";73269090;Z1018240L;1.05;PC;1821.15;0;3021;2964
"RLPUNC11/4""-7-LBProtrusion=300mm";"RLPUNC11/4""-7-LBProtrusion=300mm";73269090;Z1018300L;1.05;PC;3786.35;0;6282;6162
"RLPUNC11/2""-6-LBProtrusion=300mm";"RLPUNC11/2""-6-LBProtrusion=300mm";73269090;Z1018360L;1.05;PC;4518.19;0;7496;7353
"RLPUNC13/4""-5-LBProtrusion=301mm";"RLPUNC13/4""-5-LBProtrusion=301mm";73269090;Z1018420L;1.05;PC;7062.29;0;11716;11494
"RLPUNC2""-4,5-LBProtrusion=301mm";"RLPUNC2""-4,5-LBProtrusion=301mm";73269090;Z1018480L;1.05;PC;7454.44;0;12367;12132
WLP-4T;WLP-4T;73269090;Z7009011;1.05;PC;203.55;48;338;331
WLP-7T;WLP-7T;73269090;Z7009021;1.05;PC;349.06;73;579;568
WLP-16T;WLP-16T;73269090;Z7009041;1.05;PC;1151.6;0;1911;1874
WLP-2,5T;WLP-2,5T;73269090;Z7009001;1.05;PC;189.56;53;314;309
KLA26-10(200);KLA26-10(200)L=50M;73158200;Z802248;10.975;M;1704.09;78;2955;2899
KLA13-10(200);KLA13-10(200)L=100M;73158200;Z802303;10.975;M;232.07;39;402;395
