id,codigo,ref_prod,desc_prod,qtde
2344,H000196,"VW 07-08","ELO DE SUSPENSAO WIN VW 07-08 (MT-8 GUNNEBO)",0.00
2345,H000197,"VW 10","ELO DE SUSPENSAO WIN - VW 10",0.00
2346,Z101359,MT-9-10,"ANEL MT-9-10",0.00
2347,Z100904,MT-10-10,"ANEL MT-10-10",1.00
2348,Z100905,MT-13-10,"ANEL MT-13-10",0.00
2350,1258185,"A347 36/28X90 10MM","ANEL DE CARGA A347 36/28X90 10MM (EQUIVALE MT-16)",0.00
2351,Z101074,MT-20-10,"ANEL MT-20-10",0.00
2352,Z100555,"MTX 10-10","ANEL MTX 10-10",0.00
2353,Z100629,MTX-16-10,"ANEL MTX-16-10",1.00
2354,ES16,ES-16-8,"ANEL RUD ES-16-8",1.00
2355,ES26,ES-26-8,"ANEL RUD ES-26-8",0.00
2356,A0831,"ANEL 0831-6-8 (THIELE)","ANEL 0831-6-8 (THIELE)",8.00
2357,A0831-1,"ANEL 0831-13-8 (THIELE)","ANEL 0831-13-8 (THIELE)",2.00
2358,0832-18,"TWN 0832 18-8","ANEL TWN 0832 18-8",5.00
2359,0832-20,"TWN 0832 20-8","ANEL TWN 0832 20-8",9.00
2360,0832-22,"TWN 0832 22-8","ANEL TWN 0832 22-8",4.00
2361,0832-26,"TWN 0832 26-8","ANEL TWN 0832 26-8",0.00
2362,0832-32,"TWN 0832 32-8","ANEL TWN 0832 32-8",4.00
2363,0833-13,"TWN 0833 13-8","ANEL TWN 0833 13-8",0.00
2364,0833-16,"TWN 0833 16-8","ANEL TWN 0833 16-8",6.00
2365,0833-18,"TWN 0833 18-8","ANEL TWN 0833 18-8",4.00
2366,0833-20,"TWN 0833 20-8","ANEL TWN 0833 20-8",2.00
2367,0833-22,"TWN 0833 22-8","ANEL TWN 0833 22-8",0.00
2368,0833-26-8,"TWN 0833 26-8","ANEL TWN 0833 26-8",1.00
2369,"0836 13-8","TWN 0836 13-8","GANCHO TWN 0836 13-8",4.00
2370,"0832 36-8","TWN 0832 36-8","ANEL TWN 0832 36-8",1.00
2371,EX13,"ANEL EXCELL 1 PERNA 13-8 MF","ANEL EXCELL 1 PERNA 13-8 MF",3.00
2372,MTR-22,"ANEL MTR-22 (EXCELL)","ANEL MTR-22 (EXCELL)",0.00
2373,"ABTC-0,5-1000","BARRAS DE CARGA TRAVESSA CRUZADA 0,5T","BARRAS DE CARGA TRAVESSA CRUZADA 0,5T",0.00
2374,ABT-E-1-700,"BARRA DE CARGA ESPECIAL","BARRA DE CARGA ESPECIAL",0.00
2375,ABT-10-2600,"BARRAS DE CARGA TRAVESSA CAP 10T","BARRAS DE CARGA TRAVESSA CAP 10T",0.00
2376,MOD.ABT-1-3000,"BARRA DE CARGA TRAVESSA CAP 1,00 X 3M","BARRA DE CARGA TRAVESSA CAP 1,00 X 3M",0.00
2377,Z769490,"CALIBRADOR DE CORRENTE","CALIBRADOR DE CORRENTE",0.00
2378,751,"CABO ACO (LACO) 3/8 6X25 (BALDAN)","CABO ACO (LACO) 3/8 6X25 (BALDAN)",0.00
2379,8294,"CATRACA EK50 GALVANIZADA","CATRACA EK50 GALVANIZADA",0.00
2380,LCT790P2001,"LINGA DE CINTA 2 PERNAS X 3M C/GANCHOS","LINGA DE CINTA 2 PERNAS X 3M C/GANCHOS",0.00
2381,21240Z,"BOLSA CINTA 16T X 4M","BOLSA CINTA 16T X 4,00M COM PROT COURO",0.00
2382,COE790001,"CO 0,50TX1,30M","CINTA CO 0,50TX1,30M (SCANIA)",0.00
2383,1803,"CO 1TX1M","CINTA CO 1TX1M",7.00
2384,3584,"CO 1TX1,3M ","CINTA CO 1TX1,3M ",0.00
2385,"COE790001-1,3","CO 1TX1,3M ","CINTA CO 1TX1,3M (SCANIA)",0.00
2386,M37P1015,"CO 1TX1,5M","CINTA CO 1TX1,5M",1.00
2387,COE790001-2,"CO 1T X 2M","CINTA CO 1T X 2M",0.00
2388,497,"CO 1TX2M","CINTA CO 1TX2M SCANIA",0.00
2389,477,"CO 1TX2M PROT 0,98MM PU","CINTA CO 1TX2M PROT 0,98MM PU - SCANIA",0.00
2390,BRM37P1022,"CO 1TX2,20M","CINTA CO 1TX2,20M",0.00
2391,M37P1025,"CO 1TX2,5M","CINTA CO 1TX2,5M",2.00
2392,1108,"CO 1TX3M","CINTA CO 1TX3M",0.00
2393,COE790001-3,"CO 1TX3M","CINTA CO 1T X 3M",2.00
2394,2604,"CO 1TX3M PROT 1,96M PU - SCANIA","CINTA CO 1TX3M PROT 1,96M PU - SCANIA",0.00
2395,478,"CO 1TX3M PROT 070MM PU - SCANIA","CINTA CO 1TX3M PROT 070MM PU - SCANIA",0.00
2396,M37P104,"CO 1TX4M","CINTA CO 1TX4M",1.00
2397,COE790001-5,"CO 1TX5M","CINTA CO 1TX5M",0.00
2398,549,"CO 1TX5M","CINTA CO 1TX5M",0.00
2399,COE790001-7,"CO 1TX7M","CINTA CO 1TX7M",0.00
2400,1589,CO2TX1M,"CINTA CO 2TX1M",0.00
2401,M37P2015,"CO 2T X 1,5M","CINTA CO 2T X 1,5M",0.00
2402,2088,"CO 2TX2M","CINTA CO 2TX2M",4.00
2403,"M37P2025 (COP05400200.5)","CO 2TX2,5M","CINTA CO 2TX2,5M",20.00
2404,14618,"HD 2000/2,500 OP 73721","HD 2000/2,500 OP 73721(METSO PC 190/24)",0.00
2405,1896,"CO 2TX2,5M","CINTA CO 2TX2,5M (SPANSET)",0.00
2406,"COE790002-2,5","CO 2TX2,5 C/ 1M PROT COURO CORREDICO","CINTA CO 2TX2,5 C/ 1M PROT COURO CORREDICO",0.00
2407,1895,"CO 2TX3M","CINTA CO 2TX3M",2.00
2408,5187,"CO 2TX3M","CINTA CO 2TX3M",0.00
2409,COE790002-3,"CO 2TX3M","CINTA CO 2TX3M",0.00
2410,567,CO2TX3M,"CINTA CO 2TX3M",1.00
2411,1109,CO2TX4M,"CINTA CO 2TX4M",0.00
2412,2089,CO2TX5M,"CINTA CO 2TX5M",0.00
2413,M37P3015,"CO 3TX1,5M","CINTA CO 3TX1,5M",3.00
2414,COE790003-2,"CO 3TX2M","CINTA CO 3TX2M",0.00
2415,1973,"CO 3TX2M","SPECTRE FS 3000/2,00M - CINTA CO 3TX2M",0.00
2416,10015,"CO 3TX2,5M","CINTA CO 3TX2,5M",0.00
2417,COE790003-3,"CO 3TX3M ","CINTA CO 3TX3M ",0.00
2418,1739,CO3TX3M,"CINTA CO 3TX3M",0.00
2419,1768,"CO 3TX4M","CINTA CO 3TX4M",0.00
2420,1110,"CO 3TX5M       ","CINTA CO 3TX5M       ",0.00
2421,COE790003-5,"CO 3TX5M       ","CINTA CO 3TX5M       ",0.00
2422,M37P306,"CO 3TX6M","CINTA CO 3TX6M",0.00
2423,COE790003-7,"CO 3TX7M ","CINTA CO 3TX7M ",0.00
2424,M37P308,"CO 3TX8M","CINTA CO 3TX8M",0.00
2425,M37P402,"CO 4TX2M","CINTA CO 4TX2M",0.00
2426,1111,"CO 4TX3M","CINTA CO 4TX3M",1.00
2427,COE790004-4,"CO 4TX4M","CINTA CO 4TX4M",0.00
2428,2027,"CO 4TX6M","CINTA CO 4TX6M",0.00
2429,COE790004-6,"CO 4TX6M","CINTA CO 4TX6M",0.00
2430,COE790004-06,"CO 4TX6M COM 2M PROTECAO COURO","CINTA CO 4TX6M COM 2M PROTECAO COURO",0.00
2431,M37P407,"CO 4TX7M","CINTA CO 4TX7M",0.00
2432,555,"CO 5T X 2M","CINTA CO 5T X 2M",0.00
2433,1114,"CO 5T X 6M","CINTA CO 5T X 6M",0.00
2434,COE790006-4,"CO 6T X 4M","CINTA CO 6T X 4M",0.00
2435,COE790006-04,"CO 6T X 4M PROT 2M","CINTA CO 6T X 4M PROT 2M",0.00
2436,22240Z-8,"CO 8TX4M PROT 2M","CINTA CO 8TX4M PROT 2M",0.00
2437,COE790008-5,"CO 8T X 5M PROT 2M","CO 8T X 5M PROT 2M",0.00
2438,COE790008-6,"CO 8T X 6M ","CINTA CO 8T X 6M ",0.00
2439,M033808,"CO 8T X 8M","CINTA CO 8T X 8M",0.00
2440,COE790008-10,"CO 8T X 10M","CINTA CO 8T X 10M",0.00
2441,COE790008,"CO 8T X 12M","CINTA CO 8T X 12M",0.00
2442,M033004,"CO 10TX4M","CINTA CO 10TX4M",0.00
2443,COE790010,"CO 10TX4M","CINTA CO 10TX4M",0.00
2444,COP791010012,"CO 10TX12M","CINTA CO 10TX12M",0.00
2445,22240Q-15X5,"CINTA 15TX5M COM PROT 2M 240SQT DEDINI","CINTA 15TX5M COM PROT 2M 240SQT DEDINI",0.00
2446,22240Q,"CO 15T X 4,60","CINTA CO 15T X 4,60",0.00
2447,22300Q,"CO 20T X 15M","CO 20T X 15M",0.00
2448,LRD790010,"LR 1TX800MMX400MM","CINTA LR 1TX800MMX400MM",0.00
2449,14107,"LR 1TX0,53M","LR 1TX0,53M SCANIA",0.00
2450,M57P101,"LR 1TX1MX0,50M","CINTA LR 1TX1MX0,50M",1.00
2451,M57P102,"LR 1TX2MX1M","CINTA LR 1TX2MX1M",0.00
2452,CABOPOEC,"LR 1TX2,5MX1,25M","CINTA LR 1TX2,5MX1,25M",1.00
2453,M57P106,"LR 1TX3MX1,5M","CINTA LR 1TX3MX1,5M",0.00
2454,LRD790001,"LR 1TX3MX1,5M","CINTA LR 1TX3MX1,5M",0.00
2455,M57P104,"LR 1X4MX2M","CINTA LR 1X4MX2M",14.00
2456,GUNNEBO,"2TX1MX0,50MM","CINTA 2TX1MX0,50MM",3.00
2457,M99P29,"LR 2TX1,6MX0,80M ","CINTA LR 2TX1,6MX0,80M (C/PROTECAO)SCANIA",0.00
2458,M57P202,"LR 2TX2MX1M","CINTA LR 2TX2MX1M",12.00
2459,LRD790002,"LR 2TX2M CAPA 90MM","CINTA LR 2TX2M CAPA 90MM PLANA PROT TODO CORPO - METSO",0.00
2460,LRD790002-4X2,"LR 2TX4MX2M","CINTA LR 2TX4MX2M",0.00
2461,"LRD790002-5-2,5M","LR 2TX5X2,5M","CINTA LR 2TX5X2,5M",0.00
2462,M57P302,"LR 3TX2MX1M","CINTA LR 3TX2MX1M",0.00
2463,M57P303,"LR 3TX3MX1,5M","CINTA LR 3TX3MX1,5M",0.00
